layer,format,category,position,variant,n_ranks,median_rank,mean_reciprocal_rank,hit_rate@1,hit_rate@5,hit_rate@10,mean_topk_overlap
35,chat,all,all,random,16,123515.5,2.1501449e-05,0,0,0,0
35,chat,all,all,adjacent_layer,16,1.5,0.37153112,0.0625,0.75,0.8125,0.3
35,chat,all,all,distant_layer,16,66130,0.0024697036,0,0,0,0
35,chat,all,all,shuffled_layer,16,87271.5,2.1993573e-05,0,0,0,0
35,plain,all,all,jlens,60,0,0.72125843,0.63333333,0.86666667,0.88333333,0.29333333
35,plain,all,all,logit_lens,60,0,0.72132047,0.68333333,0.78333333,0.8,0.24333333
35,plain,all,all,permuted,60,82970,1.9798029e-05,0,0,0,0
35,plain,all,all,random,60,43049.5,0.00010659021,0,0,0,0
35,plain,all,all,adjacent_layer,60,0,0.75413335,0.66666667,0.88333333,0.88333333,0.31666667
35,plain,all,all,distant_layer,60,105968.5,0.00032782312,0,0,0,0
35,plain,all,all,shuffled_layer,60,45258.5,0.00084945006,0,0,0,0.0066666667
35,all,antonym,all,jlens,14,0,0.83333333,0.71428571,0.92857143,1,0.28571429
35,all,antonym,all,logit_lens,14,0,0.81547619,0.71428571,1,1,0.25
35,all,antonym,all,permuted,14,77639.5,3.3761365e-05,0,0,0,0
35,all,antonym,all,random,14,47128,0.00015739573,0,0,0,0
35,all,antonym,all,adjacent_layer,14,0,0.83928571,0.71428571,1,1,0.32142857
35,all,antonym,all,distant_layer,14,134183.5,0.00026244853,0,0,0,0
35,all,antonym,all,shuffled_layer,14,55468.5,9.0228207e-05,0,0,0,0.014285714
35,all,association,all,jlens,12,2.5,0.40707314,0.25,0.66666667,0.66666667,0.35
35,all,association,all,logit_lens,12,3,0.38168089,0.25,0.66666667,0.66666667,0.33333333
35,all,association,all,permuted,12,112706,1.823528e-05,0,0,0,0
35,all,association,all,random,12,32102,0.0002842842,0,0,0,0
35,all,association,all,adjacent_layer,12,2,0.41471282,0.25,0.66666667,0.66666667,0.35
35,all,association,all,distant_layer,12,3647,0.0037216761,0,0,0,0
